text,date
Was going to watch Scorsese’s The Irishman in NETFLIX but had no enough time last night so I’ve chosen  to continue watching the Thai horror THE EYE. Despite my fear I was able to watch. The main character played by Angelica Lee was great especially her impressive eyes. https://t.co/eqZO65XmLE,2019/11/29 10:14
"It’s been 3 weeks since the launch. To Sam Porter Bridges in the world, thanks for connecting the world. The ones addicted to DS, the ones finished the story, everyone’s connected. 
TOMORROW IS IN YOUR HANDS.

#デススト
#DeathStranding??????
#TomorrowIsInYourHands https://t.co/60ZVIxO5MT",2019/11/29 10:08
Good morning https://t.co/FzmtDwLIgY,2019/11/29 10:05
"I wrote a quote for the film, ""AN ELEPHANT SITTING STILL"". As French media commented, to me this film reminds me of JOY DIVISION very much. Ho Bo,the promising filmmaker who ended his own life at a young age, evokes my memories of Ian Curtis. My best 3 this year, highly recommend https://t.co/rFHJhF2zAG",2019/11/28 15:08
Good morning. https://t.co/Ac3YIqeM9D,2019/11/28 9:24
"1/2
First we shoot the live action by the handy camera based on my image and then fix the camera works, the direction, and the framing. Based on these we construct the details of shooting for the performance cap as well as the set (the rough CGI) preparation. (Continue) https://t.co/7p5CVue6q1",2019/11/27 20:41
"1/2
Here’s how we made the cave scene at the beginning. Making the rough initial pre-visualization for performance cap preps where we fix the movement, camera works, direction and the sound. The handy camera becomes the reference for the actual scene. (Continue) https://t.co/P73zEfHovP",2019/11/27 20:32
"1/2
This is the process of getting to know how much info can be included in the frame by testing with handy camera in order to visualize my image design. I write storyboard but skip the drawing and prioritize shooting to speed up and also we can share the ppl’s movement (continue https://t.co/d2VDSBgAVo",2019/11/27 18:08
"Dear Sam “Porter” Bridges in the world, DEATH STRANDING has been nominated at TGA, thank you very much. Your vote counts. 

https://t.co/5XdtxPkqCQ https://t.co/bVsgYxazcB",2019/11/27 17:54
"I hang the prop from the movie, Hostile I received from Mathieu Turi. Thank you! https://t.co/qN5T66hTsZ",2019/11/27 17:47
The previous video from April 2017. We expanded our space and it became the scanning room but before we use this empty space for practicing camera directions &amp; its constructions. Here we’re filming the scene of CDT encountering BT w/the box as BB Pod &amp; Lud played the corpse role. https://t.co/5QYz2tVaTG,2019/11/27 17:47
"Reunited with Paul Ehreth the lead designer of Remedy Entertainment.
And also took picture with Jacob Benton(Bungie) and Dan Callan(Luminous Productions). https://t.co/hsZpmR3Qal",2019/11/27 16:35
"The precious video from Aug 2016. When we finally found the office to rent with more staff. As there’s no hallway, kitchen or conference room we were able to shoot this image. Making this rough pre-visualization to prep for Mads’ performance capture. This was used for Mads’ ref. https://t.co/joDxCBipHK",2019/11/27 13:34
"The precious video from March 2016. I’ve been digging from archives as we’ll be celebrating the 4th anniversary on 12/16. While having few machines/staffs, we made this rough pre-visualizations to prep for upcoming Norman’s performance capture.Glove as ? shooting guerilla style. https://t.co/nRlSJANnIG",2019/11/27 13:28
"Received a comment for DEATH STRANDING from the filmmaker, Fatih Akin. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/ngsHBMYkOt",2019/11/26 18:48
"We call the distribution center in DS as ""NAVIO"" internally as it looks like the building of NAVIO.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding    
#TomorrowIsInYourHands https://t.co/GQmxCxq2Jy",2019/11/26 13:25
"Which song appears during the gameplay in DEATH STRANDING do you like? 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/eLNXfVv6lV",2019/11/25 16:17
"Dear Sam Porter Bridges in the world, thanks for doing delivery mission. I know you are still making connection of the world but DEATH STRANDING has been nominated for TGA. Thank you very much, your vote counts. 

https://t.co/5XdtxPkqCQ https://t.co/c8hfaciZOZ",2019/11/25 8:48
"Thank you fans in Taiwan for coming today, we got connected! 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#WorldStrandTour2019
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/nHhoLVcM2M",2019/11/24 16:54
